Thu Jan 12 04:03:18 MSK 2017; 9.0/3.0=3.0; Gena
Thu Jan 12 04:03:24 MSK 2017; 3.0-6.0=-3.0; Gena
Thu Jan 12 04:03:29 MSK 2017; -3.0+159357.0=159354.0; Gena
Thu Jan 12 04:09:21 MSK 2017; 3.0/6.0=0.5; 988
Thu Jan 12 04:11:47 MSK 2017; 3.0*9.0=27.0; 123
Thu Jan 12 04:11:49 MSK 2017; 27.0/123.0=0.21951219512195122; 123
Thu Jan 12 04:13:25 MSK 2017; 9.0-12.0=-3.0; 123
Thu Jan 12 04:13:28 MSK 2017; -3.0/0.0=-Infinity; 123
Thu Jan 12 04:13:32 MSK 2017; -Infinity+9.0=-Infinity; 123
Thu Jan 12 04:13:35 MSK 2017; 3.0*9.0=27.0; 123
Thu Jan 12 04:13:37 MSK 2017; 27.0-9.0=18.0; 123
Thu Jan 12 04:13:39 MSK 2017; 27.0-18.0=9.0; 123
Thu Jan 12 04:13:41 MSK 2017; 27.0-9.0=18.0; 123
Thu Jan 12 04:13:41 MSK 2017; 27.0-18.0=9.0; 123
Thu Jan 12 04:13:42 MSK 2017; 27.0-9.0=18.0; 123
Thu Jan 12 04:13:42 MSK 2017; 27.0-18.0=9.0; 123
Thu Jan 12 04:13:42 MSK 2017; 27.0-9.0=18.0; 123
Thu Jan 12 04:13:42 MSK 2017; 27.0-18.0=9.0; 123
